,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
0,26/08/2020,26,8,2020,1,0,Afghanistan,AF,AFG,38041757.0,Asia,2.10820967
1,25/08/2020,25,8,2020,71,10,Afghanistan,AF,AFG,38041757.0,Asia,2.67074941
2,24/08/2020,24,8,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,2.48411239
3,23/08/2020,23,8,2020,105,2,Afghanistan,AF,AFG,38041757.0,Asia,2.48411239
4,22/08/2020,22,8,2020,38,0,Afghanistan,AF,AFG,38041757.0,Asia,2.31061883
5,21/08/2020,21,8,2020,97,2,Afghanistan,AF,AFG,38041757.0,Asia,2.41576644
6,20/08/2020,20,8,2020,160,8,Afghanistan,AF,AFG,38041757.0,Asia,2.26855978
7,19/08/2020,19,8,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,2.02409158
8,18/08/2020,18,8,2020,3,0,Afghanistan,AF,AFG,38041757.0,Asia,2.23964419
9,17/08/2020,17,8,2020,45,5,Afghanistan,AF,AFG,38041757.0,Asia,2.32901966
10,16/08/2020,16,8,2020,120,7,Afghanistan,AF,AFG,38041757.0,Asia,2.21072859
11,15/08/2020,15,8,2020,7,0,Afghanistan,AF,AFG,38041757.0,Asia,1.89528575
12,14/08/2020,14,8,2020,79,9,Afghanistan,AF,AFG,38041757.0,Asia,2.3185048999999998
13,13/08/2020,13,8,2020,76,10,Afghanistan,AF,AFG,38041757.0,Asia,2.29747538
14,12/08/2020,12,8,2020,215,32,Afghanistan,AF,AFG,38041757.0,Asia,2.09769491
15,11/08/2020,11,8,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,1.80328159
16,10/08/2020,10,8,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,2.07929408
17,09/08/2020,9,8,2020,39,5,Afghanistan,AF,AFG,38041757.0,Asia,2.35793526
18,08/08/2020,8,8,2020,78,9,Afghanistan,AF,AFG,38041757.0,Asia,2.57348786
19,07/08/2020,7,8,2020,41,0,Afghanistan,AF,AFG,38041757.0,Asia,2.65234858
20,06/08/2020,6,8,2020,67,4,Afghanistan,AF,AFG,38041757.0,Asia,2.57874525
21,05/08/2020,5,8,2020,82,6,Afghanistan,AF,AFG,38041757.0,Asia,2.89681678
22,04/08/2020,4,8,2020,37,4,Afghanistan,AF,AFG,38041757.0,Asia,2.97567749
23,03/08/2020,3,8,2020,0,1,Afghanistan,AF,AFG,38041757.0,Asia,3.2464326
24,02/08/2020,2,8,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,3.70382472
25,01/08/2020,1,8,2020,168,12,Afghanistan,AF,AFG,38041757.0,Asia,3.73536901
26,31/07/2020,31,7,2020,71,0,Afghanistan,AF,AFG,38041757.0,Asia,3.86943221
27,30/07/2020,30,7,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,3.88257567
28,29/07/2020,29,7,2020,103,1,Afghanistan,AF,AFG,38041757.0,Asia,4.55026302
29,28/07/2020,28,7,2020,105,1,Afghanistan,AF,AFG,38041757.0,Asia,5.02868466
30,27/07/2020,27,7,2020,106,10,Afghanistan,AF,AFG,38041757.0,Asia,4.76318694
31,26/07/2020,26,7,2020,121,13,Afghanistan,AF,AFG,38041757.0,Asia,4.48454576
32,25/07/2020,25,7,2020,108,35,Afghanistan,AF,AFG,38041757.0,Asia,4.38991291
33,24/07/2020,24,7,2020,13,0,Afghanistan,AF,AFG,38041757.0,Asia,5.30995453
34,23/07/2020,23,7,2020,188,21,Afghanistan,AF,AFG,38041757.0,Asia,5.9460976
35,22/07/2020,22,7,2020,112,4,Afghanistan,AF,AFG,38041757.0,Asia,5.60699654
